代號,名稱,收盤價,月平均價
8150,南茂,25.7,25.99,
8163,達方,40.95,39.4,
8201,無敵,11.25,11.25,
8210,勤誠,40.0,38.57,
8213,志超,27.25,25.95,
8215,明基材,15.8,15.78,
8222,寶一,16.5,16.56,
8249,菱光,19.15,18.94,
8261,富鼎,29.25,29.42,
8271,宇瞻,28.8,27.95,
8341,日友,212.5,221.5,
8367,建新國際,24.6,24.13,
8374,羅昇,19.55,18.38,
8404,百和興業-KY,44.45,43.3,
8411,福貞-KY,12.2,12.34,
8422,可寧衛,168.0,169.18,
8427,基勝-KY,37.1,37.48,
8429,金麗-KY,17.85,17.36,
8442,威宏-KY,57.3,57.56,
8443,阿瘦,11.85,11.99,
8454,富邦媒,186.0,186.65,
8463,潤泰材,29.8,31.17,
8464,億豐,219.0,215.82,
8466,美吉吉-KY,54.3,55.88,
8467,波力-KY,23.2,25.02,
8473,山林水,56.3,57.43,
8478,東哥遊艇,36.8,33.55,
8480,泰昇-KY,--,122.21,
8481,政伸,48.2,49.59,
8482,商億-KY,109.0,102.32,
8488,吉源-KY,13.35,13.14,
8497,聯廣,46.2,43.47,
8499,鼎炫-KY,73.3,73.85,
8926,台汽電,26.25,26.51,
8940,新天地,12.45,12.86,
8996,高力,36.35,36.09,
9103,美德醫療-DR,1.15,1.2,
9105,泰金寶-DR,2.44,2.45,
9110,越南控-DR,2.77,2.77,
9136,巨騰-DR,7.06,7.28,
9157,陽光能源-DR,0.85,0.86,
9188,精熙-DR,4.58,4.45,
9802,鈺齊-KY,46.7,45.67,
9902,台火,8.99,8.77,
9904,寶成,32.9,32.41,
9905,大華,24.7,24.86,
9906,欣巴巴,9.0,8.91,
9907,統一實,12.2,12.74,
9908,大台北,28.45,28.57,
9910,豐泰,187.5,188.91,
9911,櫻花,35.1,35.35,
9912,偉聯,8.42,8.06,
9914,美利達,129.0,122.76,
9917,中保,86.7,86.44,
9918,欣天然,32.15,32.3,
9919,康那香,10.35,10.46,
9921,巨大,142.5,131.88,
9924,福興,34.5,33.67,
9925,新保,34.65,34.34,
9926,新海,39.5,39.28,
9927,泰銘,29.95,30.47,
9928,中視,5.1,5.04,
9929,秋雨,14.0,13.64,
9930,中聯資源,51.7,51.96,
9931,欣高,32.35,31.94,
9933,中鼎,43.85,44.0,
9934,成霖,15.8,15.76,
9935,慶豐富,16.25,15.73,
9937,全國,40.3,40.14,
9938,百和,51.8,49.58,
9939,宏全,47.15,47.99,
9940,信義,30.0,30.12,
9941,裕融,88.1,88.03,
9942,茂順,69.5,70.71,
9943,好樂迪,58.0,57.71,
9944,新麗,16.35,16.24,
9945,潤泰新,46.55,44.99,
9946,三發地產,12.2,11.65,
9955,佳龍,11.95,12.0,
9958,世紀鋼,74.8,79.33,
