代號,名稱,收盤價,月平均價
1817,凱撒衛,35.65,36.1,
1902,台紙,17.35,17.52,
1903,士紙,29.95,30.02,
1904,正隆,20.9,21.01,
1905,華紙,9.17,9.14,
1906,寶隆,14.9,14.92,
1907,永豐餘,11.45,11.46,
1909,榮成,16.35,16.24,
2002,中鋼,23.85,24.25,
2006,東和鋼鐵,20.75,20.89,
2007,燁興,4.95,4.87,
2008,高興昌,12.35,12.39,
2009,第一銅,9.3,9.21,
2010,春源,10.0,10.07,
2012,春雨,19.95,19.87,
2013,中鋼構,26.7,27.17,
2014,中鴻,11.3,11.58,
2015,豐興,58.7,59.45,
2017,官田鋼,8.17,8.25,
2020,美亞,14.4,14.24,
2022,聚亨,6.75,6.55,
2023,燁輝,9.95,9.68,
2024,志聯,9.42,9.45,
2027,大成鋼,42.95,44.67,
2028,威致,7.45,7.68,
2029,盛餘,19.4,19.56,
2030,彰源,13.05,12.72,
2031,新光鋼,32.3,33.47,
2032,新鋼,9.0,9.0,
2033,佳大,9.63,9.8,
2034,允強,24.55,24.78,
2038,海光,8.15,8.58,
2049,上銀,219.5,220.29,
2059,川湖,325.5,327.82,
2062,橋椿,33.9,32.76,
2069,運錩,23.6,23.28,
2101,南港,26.15,26.95,
2102,泰豐,11.05,11.01,
2103,台橡,27.0,28.43,
2104,中橡,38.85,37.54,
2105,正新,39.95,41.18,
2106,建大,29.6,29.47,
2107,厚生,14.95,14.72,
2108,南帝,28.25,29.15,
2109,華豐,11.45,11.98,
2114,鑫永銓,78.0,78.65,
2115,六暉-KY,29.8,29.06,
2201,裕隆,17.75,18.07,
2204,中華,23.45,23.43,
2206,三陽工業,19.65,19.62,
2207,和泰車,224.5,219.38,
2208,台船,32.0,32.69,
2227,裕日車,220.0,220.03,
2228,劍麟,72.0,69.78,
2231,為升,231.0,203.76,
2236,百達-KY,28.65,27.59,
2239,英利-KY,116.5,114.97,
2243,宏旭-KY,19.4,18.68,
2301,光寶科,38.0,38.17,
2302,麗正,6.64,6.72,
2303,聯電,11.15,11.03,
2305,全友,6.14,6.17,
2308,台達電,120.0,127.44,
2312,金寶,9.41,9.43,
2313,華通,19.05,19.37,
2314,台揚,19.8,18.15,
2316,楠梓電,15.15,15.27,
2317,鴻海,70.0,75.06,
2321,東訊,3.15,3.54,
2323,中環,6.68,6.22,
2324,仁寶,17.5,17.52,
2327,國巨,319.0,323.71,
2328,廣宇,19.0,18.75,
2330,台積電,218.5,228.47,
2331,精英,12.0,12.89,
2332,友訊,10.6,10.4,
2337,旺宏,18.85,18.96,
2338,光罩,18.25,20.79,
2340,光磊,16.95,16.82,
2342,茂矽,23.8,24.39,
2344,華邦電,14.0,13.75,
