代號,五年均,y18,y17,y16,y15,y14,y13,y12,y11,y10,y09,y08,y07,y06,y05,y04,y03,y02,y01
1418,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
1419,1.060,3.73,0.46,0.35,0.31,0.45,0.5,0.6,0.7,0.25,0,0.25,0.25,0.25,0,0,0,0,0
1423,0.000,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0
1432,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,1.400,1.9,1.5,1.2,1.4,1,1,1.2,2,0.8,1.5,3.2,1.4,1,0.8,0.6,0.7,0.4,0.6
1435,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,1.000,2.5,1,0,1.5,0,0,0,0.17,0,0,0,0,0,0,0,0.5,0,0
1437,0.200,0.5,0.5,0,0,0,0,0,0.15,0,0,0.2,0,0,0,0,0,0,0
1438,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,0.400,0,0.5,0.5,0.5,0.5,0.5,0.5,10,0,0,0,0,0,0.2,0.2,0.3,0.6,0.3
1440,0.320,0.36,0.32,0.45,0.17,0.3,0.15,0.2,0.8,0.4,0,0.6,0.25,0,0.2,0.3,0.2,0,0
1441,0.000,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0
1442,1.928,1.8,0.99,1,1.85,4,1.2,2.5,1.8,1.5,1.2,0,0,0,0,0,0,0,0
1443,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,0.300,0.5,0,0.5,0.5,0,0.6,0.5,0.5,0.8,0,0,0,0,0,0,0,0,0
1445,0.360,0.2,0.3,0.5,0.3,0.5,0.3,0.5,0.5,0.2,0.21,0.4,0,0,0,0,0,0.3,0
1446,0.300,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0.27,0,0,0,0.1,0,0,0
1447,0.000,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
1449,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,1.660,1.5,1.5,1.5,1.8,2,1.3,1,1.25,1,0.5,1.5,1.7,1.5,2,2.2,2.2,2,0
1452,1.240,1.4,1.2,1.8,1,0.8,0.5,0.5,0.8,0.5,0,0.45,0.3,0,0,0,0,0,0
1453,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,0.330,0.2,0.3,0.5,0.4,0.25,0.2,0.5,0,0,0.2,0,0,0,0,0.3,0,0.3,0
1455,0.260,0.4,0.3,0.2,0.2,0.2,0,0.1,0.6,0.1,0,0.12,0.12,0.1,0.25,0.2,0.4,0.2,0.1
1456,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,0.440,0.7,0.5,0.6,0.3,0.1,0,0,0.17,0,0,0,0,0,0,0,0,0,0
1459,0.240,0.1,0,0.2,0.55,0.35,0.1,0.47,0.7,0,0,0.55,0.18,0,0.5,0.25,0.2,0,0
1460,0.420,0,0.4,0.8,0.7,0.2,0,0,0,0,0,0.2,0.15,0,0.15,0,0.15,0.2,0.1
1463,1.566,3,3.3,0.7,0.53,0.3,0,0,0,0,0,0,0,0.15,0.5,0,0,0,0.35
1464,1.456,2.2,1.93,2.18,0.97,0,0.2,0.2,0.15,0.2,0,0.2,0,0,0,0.15,0,0,0
1465,0.680,0.4,0.65,0.9,0.95,0.5,1,1.1,2.2,0.5,0.55,0.75,0.6,0.8,0.3,0.2,0.2,1.1,0
1466,0.194,0,0,0,0.5,0.47,1,1,0.3,0,0,0,0,0,0,0,0,0,0
1467,0.140,0,0,0,0.5,0.2,0.4,0.2,0,0,0,0.6,1.15,1.09,0.25,1,0.5,0.2,0
1468,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.3,0
1469,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1470,0.510,0.5,0.55,0.6,0.6,0.3,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0
1471,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
1473,1.400,0.5,1.2,1.2,1.6,2.5,1,2.3,2.42,1.5,1,2.5,3.68,3,3,3,3,3,1.8
1474,0.460,0.6,0.6,0.5,0.3,0.3,0.1,0.3,0.51,0.2,0,0.1,0.5,0.46,0.3,0.59,0.3,0,0
1475,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,9.100,9.5,10.5,10.5,8,7,5,3,2,1,0.4,1,0.8,0.8,0.8,0.8,0.88,0.7,0.8
1477,7.522,6,6.71,9.51,7.7,7.69,6.14,6.05,4.57,5.17,2,5.97,4.64,3.74,3.1,3.7,2.8,2.2,0
1503,1.380,1.3,1.2,1.5,1.5,1.4,1,1.2,1.2,1.2,0.6,1.2,1.2,1.2,1,0.6,0.5,0.3,0.6
1504,0.948,0.86,0.88,0.8,1.1,1.1,1,0.9,0.8,0.55,0.5,1,0.7,0.6,0,0.5,0.5,0,0.1
1506,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,2.520,2,2.4,2.7,3,2.5,2.3,2.2,2,1.5,1,1,0.8,1,0.6,0.8,0.8,0.6,0.6
1512,0.000,0,0,0,0,0,0,0.5,0.5,0,0,0.3,0.5,0.7,0.7,0.35,0,0,0
1513,1.000,1,1,1,1.2,0.8,1,1,1,1,0.88,1.4,1.4,1.5,1.3,1,0.63,0,1
1514,0.446,0.5,0.5,0.48,0.45,0.3,0.5,0.35,0.3,0.15,0,0.27,0.25,0.2,0.15,0,0,0.4,0.6
1515,0.540,1.2,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.6,0.4,0.4,0,0.2
1516,0.074,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1517,0.380,0.2,0.2,0.5,0.5,0.5,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.15,0,0,0,0,0
1519,0.544,0.4,0.8,0.6,0.6,0.32,0.25,0.5,1,1,1.2,2,1.29,0.34,0,0.15,0.4,0.7,0.5
1521,4.680,5.2,5.2,5,4.3,3.7,3.5,4,4,3,1,1.5,1.3,2.5,3.5,2.5,1.5,1,1.5
1522,1.220,1.6,2,1.5,1,0,0,0.1,0,0.5,0.3,0.41,0.15,0,0.3,1.25,3,0.8,0
1524,0.190,0.45,0.5,0,0,0,0,0,0,0,0.1,0.15,0.3,0.3,0.6,0.11,0,0,0
1525,1.820,2.4,2.3,1.4,1.4,1.6,1.6,1.7,1.5,1.55,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1.2
1526,0.440,1,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,3.260,1.4,4.1,3.3,3,4.5,0.5,1.83,0,1.33,1.23,2.32,3,2.13,4,3,3,3,1.5
1528,0.360,0.5,0.5,0.1,0.1,0.6,0.55,0.6,0.77,0.23,0.14,1.06,1.3,0.3,0.3,0,0,0.24,1
1529,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1530,1.330,1.25,0.7,0.5,2.2,2,1.5,1.5,1,0.5,0.51,4,3,3,2.2,1.5,0.76,0.38,0.2
1531,0.760,0.8,0.6,0.6,0.8,1,1.2,2,1.8,0.7,0.7,0.2,1.7,0.5,1.5,1.5,2.3,1.5,2
1532,1.960,1.5,1.7,2.1,1.5,3,1,0.4,1.2,2,0.2,0.65,1.3,1.33,1.91,0.77,0.92,0.7,0.9
1533,0.520,0.3,0.2,0.1,0.5,1.5,0.3,0.4,0,0.5,0,1,1.2,0.5,0.6,1,2,1.8,1
1535,2.810,1.25,1.8,3,4.5,3.5,3.89,3.5,3.2,2.7,2,1.8,1.6,1,0.6,0.2,0.3,0.3,0.7
1536,2.768,3.75,3.5,3.2,2.1,1.29,0.22,0,0,0,0,1.34,1,1,0,0.4,0,0,0
1537,7.600,9.5,9,7.5,6.5,5.5,4.5,2.5,4.14,3.47,0.36,2.23,1,0.5,0.25,1.5,1.5,1.5,0.2
1538,0.000,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0.7,1.47,0.2,0.5,0
1539,0.858,1,1.2,1.2,0.89,0,0,0,0,0,0,0.15,0,0,0.15,0.4,0.6,0.7,0.2
1540,1.080,0.6,1,1,1.5,1.3,1,1.5,1.3,2.5,1.5,3,1,1.5,1.2,0.5,0.8,0.5,0
1541,1.944,1.5,3.3,3.21,1.71,0,0,0,0,0.98,0,0.1,0,0,0,1.28,0.85,0,0
1558,9.100,8.5,9.5,9.5,9,9,7.5,8,7.7,7,2.2,2.8,4.2,2.2,3.5,3,2,,
1560,3.520,3.5,3,3.7,4.1,3.3,2.7,2.7,1.5,0.5,1.2,2.1,2.5,1.5,1.5,1.5,0.4,0.2,0.2
1568,0.800,0.8,1.2,1,0.5,0.5,0.5,0,0,0,0,0.2,0,0,0.2,0.2,,,
1582,4.590,5,5.45,4.5,4.5,3.5,3.94,3,3.48,4.5,3,5.93,6,1,,,,,
1583,2.040,2.5,1,0.5,3.5,2.7,2.03,2.5,1,0.5,0.5,4.12,2.5,,,,,,
1587,0.968,0.44,1,1,1.2,1.2,0.5,1,1,1.5,,,,,,,,,
1589,4.540,1.5,3.25,8.45,6,3.5,2.6,0.15,,,,,,,,,,,
1590,5.582,7.44,5.37,4,4.8,6.3,3.8,5.3,4.36,,,,,,,,,,
1592,1.440,1,2.2,1,1,2,,,,,,,,,,,,,
1593,2.708,3.24,3,3,2.1,2.2,1,1.8,2,,,,,,,,,,
1598,1.220,0.5,2.1,1.5,2,0,0.45,0.05,,,,,,,,,,,
1603,0.400,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,0.870,0.2,1.4,1.04,1,0.71,0.6,0.3,0.08,0,0,0,0,0,0,0.5,0,0.2,0.45
1605,0.382,1,0.7,0.21,0,0,0,0,0.4,0,0,0.3,1.5,0,1.01,0,0,0,0.2
1608,0.286,0.73,0,0,0,0.7,0.7,0,0.35,0.5,0,0.7,0.4,0,0.5,0.6,0.5,0,0
1609,0.110,0.35,0,0,0,0.2,0.2,0.25,0.35,0.14,0,0.15,0.2,0.19,0.3,0.2,0.8,0.2,0
